bajau_name,common_name.x,common_name.y,family,species,photo_ID,status
tatape kuneh,Butterfly fish,butterflyfish,Chaetodontidae,Forcipiger spp.,7172,June dark moon/Irwan
tatape sirah,bannerfish,bannerfish,Chaetodontidae,Heniochus chrysostomus,7174,June dark moon/Irwan
tatatape,Moorish idol,moorish idol,Zanclidae,Zanclus cornutus,0,
tengiri,Narrow-barred Spanish mackerel,NA,NA,NA,7456,July dark moon/Mustamin
tibbo,Damselfish,damselfish,Pomacentridae,Pomacentrus spp.,8569,Sept bright moon/Alwin
tibo pote,Damselfish,damselfish,Pomacentridae,Dischistodus perspicillatus,6737,April bright moon/Kina
timbaloah,Crocodile or keeltail needlefish,Crocodile or keeltail needlefish,Belonidae,Tylosurus crocodilus,7162,June dark moon/Irwan
timbungan,goatfish,goatfish,Mullidae,Parupeneus spp.,8636,Sept bright moon/Unyil
timbungan garas,manybar goatfish,goatfish,Mullidae,Parupeneus barberinoides,6648,April bright moon/Ganing
timbungan janggutan,manybar goatfish,goatfish,Mullidae,Parupeneus spp.,0,
timbungan mira,manybar goatfish,goatfish,Mullidae,Parupeneus spp.,5785,Feb bright moon/Harjana
timbungan rambayan,manybar goatfish,goatfish,Mullidae,Upeneus vittatus,8678,Oct dark moon/Ganing
timbungan sanio,manybar goatfish,goatfish,Mullidae,Upeneus vittatus,5744,Feb bright moon/Arsan
timbungan sirah,goatfish,goatfish,Mullidae,Parupeneus barberinoides,7195,June dark moon/Dendi
timbungang,manybar goatfish,Banded goatfish,Mullidae,Parupeneus multifasciatus,2309,
tintah,Threeline monocle bream,Striped monocle bream,Nemipteridae,Scolopsis spp.,8527,Sept bright moon/Acong
tintah tarusan,Threeline monocle bream,monocle bream,Nemipteridae,Scolopsis spp.,6089,March dark moon/Lamini
tittingan,Stripped eel catfish,NA,NA,NA,6645,no need - April bright moon/Ganing
tomiga,NA,NA,NA,NA,NA,
tonggol,Pelagic,NA,NA,NA,NA,
totoke,bream,Striped large-eye bream ,Lethrinidae,Gnathodentex aureolineatus,9147,Nov bright moon/Syahrir - not a very good picture
tubbal boa,Harlequin sweetlips,NA,NA,NA,NA,
tuna bambulo,Pelagic,NA,NA,NA,NA,
turisan,sailfin snapper,sailfin snapper,Lutjanidae,Symphorichthys spilurus,5617,Feb bright moon/Musair
turisang,sailfin snapper,sailfin snapper,Lutjanidae,Symphorichthys spilurus,0,
ulapai,Parrotfish,Parrotfish,Scarinae,Scarus spp.,8644,Sept bright moon/Unyil
ulapai coklat,Parrotfish,NA,NA,NA,NA,
ulapai mira,Parrotfish,NA,NA,NA,NA,
ulapai patoh,Parrotfish,NA,NA,NA,NA,
ururuh,Rainbow runner,Rainbow runner,Carangidae,Elagatis bipinnulatus,7463,July dark moon/Dinar
karoo,squirrelfish,Silver squirrelfish,Holocentridae,Neoniphon argenteus,8691,Oct dark moon/Mbili
mogoh nyuluh,bullethead parrotfish,bullethead parrotfish,Scarinae,Chlorurus spp.,2299/8637,
ulapai kunih,NA,Blue-barred parrotfish,Scarinae,Scarus ghobban,2301,
bulawwis biasa,NA,Scribbled rabbitfish,Siganidae,Siganus spinus,2302,
tatape pote,NA,Chevroned butterflyfish,Chaetodontidae,Chaetodon trifascialis,2311,
sambelah,NA,Bearded rockling,Ophidiidae,Brotula multibarbata,2312,
pello loong,NA,Rockmover wrasse,Labridae,Novaculichthys taeniourus,2314,
pello mogoh,NA,Cheek-lined wrasse,Labridae,Oxycheilinus diagrammus,2315,
beseh pangka,NA,Cardinalfish,Apogonidae,Apogon spp.,2324,
banguntu janggutang,NA,,,,,
mogoh sirah,NA,Striped large-eye bream ,Lethrinidae,Gnathodentex aureolineatus,2355,
keapu mira campur,NA,Coral grouper,Serranidae,Cephalopholis miniata,2336,
kambule nyuluh,NA,Gold-band fusilier,Caesionidae,Caesio caerulaureus,2334,
tintah sirah,NA,Blue and yellow fusilier,Caesionidae,Caesio teres,2335,
keapu cambah,NA,Vermicular trout,Serranidae,Plectropomus oligacanthus,2330,
bambangan,NA,Large-eye bream,Lethrinidae,Monotaxis grandoculis,2362,
lompa,NA,,,,2365,
dayah sangai,NA,Rubberlip snapper,Lutjanidae,Lutjanus rivulatus,2368,
mogoh kadanga,NA,Parrotfish,Scarinae,Scarus prasiognathos,2370,
mogoh bitti loong,NA,Parrotfish,Scarinae,Cetoscarus bicolor,2398,
ingko kunih kambule,NA,Fusilier,Caesionidae,Caesio cuning,2389,
